,Area_rep,Total,1/2024,2/2024,3/2024,4/2024,5/2024,6/2024,7/2024,8/2024,9/2024,10/2024,11/2024,12/2024
0,global_sales,5242343.0,226514.0,200367.0,249773.0,351746.0,350918.0,417782.0,552739.0,564599.0,448283.0,582753.0,661018.0,635851.0
1,global_pharmacy,2938548.0,145923.0,116131.0,130136.0,155655.0,172535.0,243581.0,312258.0,297701.0,275908.0,329762.0,370240.0,388718.0
2,GOMLA,2303795.0,80591.0,84236.0,119637.0,196091.0,178383.0,174201.0,240481.0,266898.0,172375.0,252991.0,290778.0,247133.0
3,ALEXANDRIA,1616898.0,96784.0,68398.0,84477.0,86727.0,97196.0,142226.0,148091.0,178670.0,162640.0,174544.0,184919.0,192226.0
4,SHIMAA,1118936.0,59813.0,56188.0,54490.0,69838.0,78389.0,90481.0,140213.0,117766.0,102550.0,114012.0,117412.0,117784.0
5,Behira,902605.0,21629.0,24375.0,30049.0,42721.0,47508.0,71181.0,97693.0,67102.0,76152.0,125662.0,143793.0,154740.0
6,Kafr dwar,607012.0,21629.0,24375.0,30049.0,42721.0,47508.0,48208.0,55081.0,40958.0,45838.0,90464.0,82928.0,77253.0
7,ESRAA,540212.0,41242.0,32039.0,35265.0,36043.0,35303.0,46679.0,38646.0,43282.0,44272.0,57579.0,61148.0,68714.0
8,Kafr dwar1,470908.0,21629.0,24375.0,30049.0,42721.0,47508.0,48208.0,55081.0,40786.0,37860.0,46358.0,36885.0,39448.0
9,AYA,406152.0,17343.0,10544.0,14647.0,19880.0,25985.0,25633.0,35732.0,50937.0,32935.0,59150.0,59883.0,53483.0
10,MATROUH,366921.0,23130.0,21077.0,14905.0,25648.0,25707.0,29114.0,56358.0,44948.0,34933.0,26717.0,32215.0,32169.0
11,Matrouh / SHIMAA,364240.0,23130.0,21077.0,14905.0,25648.0,25707.0,29114.0,56358.0,44948.0,34933.0,24048.0,32203.0,32169.0
12,Kafr dwar1 / SHIMAA,346727.0,20136.0,22496.0,26357.0,32798.0,36142.0,34963.0,42696.0,27900.0,26970.0,27910.0,23748.0,24611.0
13,Alexandria / SHIMAA,306141.0,16547.0,12615.0,13228.0,11392.0,16540.0,26404.0,41159.0,44918.0,38157.0,32676.0,27501.0,25004.0
14,OMET,296488.0,15477.0,11365.0,12812.0,15073.0,16110.0,35266.0,30281.0,38581.0,33931.0,29241.0,28201.0,30150.0
15,Abo Mtamir,295593.0,0.0,0.0,0.0,0.0,0.0,22973.0,42612.0,26144.0,30314.0,35198.0,60865.0,77487.0
16,I_SUPPLY,282413.0,10160.0,7334.0,11927.0,13107.0,13812.0,21189.0,26378.0,39312.0,36648.0,33438.0,37159.0,31949.0
17,Alexandria / OMET,252514.0,14973.0,11339.0,12812.0,15073.0,14488.0,25839.0,22452.0,34606.0,29883.0,24563.0,21456.0,25030.0
18,Abo Mtamir / IHAB,215363.0,0.0,0.0,0.0,0.0,0.0,22182.0,31508.0,2222.0,23207.0,33892.0,44903.0,57449.0
19,Alexandria / AYA,157566.0,13415.0,7213.0,10927.0,10007.0,14994.0,13708.0,12962.0,15651.0,12909.0,15221.0,14080.0,16479.0
20,Kafr dwar2,123379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,5203.0,39939.0,43362.0,34810.0
21,Kafr dwar1 / AYA,101732.0,989.0,1677.0,3608.0,9729.0,9728.0,11094.0,9977.0,8782.0,8922.0,13787.0,11177.0,12262.0
22,Kafr dwar2 / AYA,70134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,23844.0,26366.0,19291.0
23,Engineer_SHAMS / SHIMAA,56837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15422.0,19454.0,21961.0
24,GHARB,55755.0,332.0,272.0,338.0,400.0,376.0,8168.0,7032.0,1386.0,804.0,1111.0,19354.0,16182.0
25,Abo Mtamir / AYA,47489.0,0.0,0.0,0.0,0.0,0.0,791.0,11104.0,23922.0,7107.0,1306.0,1495.0,1764.0
26,Kafr dwar2 / SHIMAA,44991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.0,13956.0,14506.0,14039.0
27,KONTY,40677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17324.0,23353.0
28,Gharb / ESRAA,33395.0,3.0,51.0,317.0,250.0,273.0,869.0,1462.0,1280.0,685.0,938.0,12942.0,14325.0
29,Abo Mtamir / KONTY,32741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14467.0,18274.0
30,Kafr dwar1 / OMET,20230.0,504.0,26.0,0.0,0.0,1622.0,2151.0,2387.0,3910.0,1968.0,3127.0,1960.0,2575.0
31,ISLAM_KHORSHED / AYA,16506.0,2939.0,1654.0,112.0,144.0,1263.0,40.0,1689.0,2475.0,589.0,825.0,4084.0,692.0
32,Gharb / OMET,16078.0,0.0,0.0,0.0,0.0,0.0,7276.0,5442.0,0.0,0.0,0.0,2295.0,1065.0
33,Kafr dwar NAKRODY / AYA,12725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2775.0,4167.0,2681.0,2995.0
34,Kafr dwar2 / OMET,7666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2080.0,1551.0,2490.0,1480.0
35,Gharb / ISUPPLY,5977.0,329.0,221.0,21.0,150.0,103.0,23.0,64.0,66.0,48.0,173.0,3987.0,792.0
36,Gharb / KONTY,5496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,3568.0
37,Alexandria / KONTY,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,1511.0
38,Kafr dwar2 / ISLAM,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0
39,Gharb / others,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0
40,Gharb / AYA,305.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,40.0,71.0,0.0,130.0,0.0
41,Kafr dwar1 / ISLAM,296.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0
